"unit" "mark_type"
"1" 1 3
"2" 1 3
"3" 1 3
"4" 1 3
"5" 1 3
"6" 1 3
"7" 1 3
"8" 1 3
"9" 1 4
"10" 1 4
"11" 1 4
"12" 1 4
"13" 1 4
"14" 1 4
"15" 1 4
"16" 1 6
"17" 1 6
"18" 1 6
"19" 1 6
"20" 1 6
"21" 2 3
"22" 2 3
"23" 2 3
"24" 2 3
"25" 2 3
"26" 2 3
"27" 2 3
"28" 2 3
"29" 2 4
"30" 2 4
"31" 2 4
"32" 2 4
"33" 2 4
"34" 2 4
"35" 2 4
"36" 2 6
"37" 2 6
"38" 2 6
"39" 2 6
"40" 2 6
"41" 3 3
"42" 3 3
"43" 3 3
"44" 3 3
"45" 3 3
"46" 3 3
"47" 3 3
"48" 3 3
"49" 3 4
"50" 3 4
"51" 3 4
"52" 3 4
"53" 3 4
"54" 3 4
"55" 3 4
"56" 3 6
"57" 3 6
"58" 3 6
"59" 3 6
"60" 3 6
"61" 4 3
"62" 4 3
"63" 4 3
"64" 4 3
"65" 4 3
"66" 4 3
"67" 4 3
"68" 4 3
"69" 4 4
"70" 4 4
"71" 4 4
"72" 4 4
"73" 4 4
"74" 4 4
"75" 4 4
"76" 4 6
"77" 4 6
"78" 4 6
"79" 4 6
"80" 4 6
"81" 5 3
"82" 5 3
"83" 5 3
"84" 5 3
"85" 5 3
"86" 5 3
"87" 5 3
"88" 5 3
"89" 5 4
"90" 5 4
"91" 5 4
"92" 5 4
"93" 5 4
"94" 5 4
"95" 5 4
"96" 5 6
"97" 5 6
"98" 5 6
"99" 5 6
"100" 5 6
